courseSection,courseName,instructor,units,days,startTimes,endTimes,location
ENGL 1A,Critical Thinking and Writing I,,4,M W F,9:15 AM,10:20 AM,Rm 210 Edward M. Dowd Art & Art History
ENGL 1A,Critical Thinking and Writing I,,4,M W F,8:00 AM,9:05 AM,Rm 209 O'Connor Hall
ENGL 1A,Critical Thinking and Writing I,,4,M W F,1:00 PM,2:05 PM,RM 3116 Sobrato Campus for Discovery and Innovation (STEM)
ENGL 1A,Critical Thinking and Writing I,,4,M W F,9:15 AM,10:20 AM,Rm 204 O'Connor Hall
ENGL 1A,Critical Thinking and Writing I,,4,M W F,8:00 AM,9:05 AM,Rm 301 Alumni Science Hall
ENGL 1A,Critical Thinking and Writing I,,4,M W F,1:00 PM,2:05 PM,RM 3302 Sobrato Campus for Discovery and Innovation (STEM)
ENGL 1A,Critical Thinking and Writing I,,4,M W F,8:00 AM,9:05 AM,Rm 302 Alumni Science Hall
ENGL 1A,Critical Thinking and Writing I,,4,T Th,8:30 AM,10:10 AM,Rm 122 Edward M. Dowd Art & Art History
ENGL 1A,Critical Thinking and Writing I,Robin Tremblay-McGaw,4,T Th,2:00 PM,3:40 PM,
ENGL 1A,Critical Thinking and Writing I,Maura Tarnoff,4,M W F,10:30 AM,11:35 AM,Rm 122 Edward M. Dowd Art & Art History
ENGL 1A,Critical Thinking and Writing I,,4,T Th,10:20 AM,12:00 PM,Rm 206 Edward M. Dowd Art & Art History
ENGL 1A,Critical Thinking and Writing I,Sean Negus,4,T Th,3:50 PM,5:30 PM,Rm 110 O'Connor Hall
ENGL 1A,Critical Thinking and Writing I,Sean Negus,4,T Th,10:20 AM,12:00 PM,Rm 105 O'Connor Hall
ENGL 1A,Critical Thinking and Writing I,Sean Negus,4,T Th,5:40 PM,7:10 PM,
ENGL 1A,Critical Thinking and Writing I,Aparajita Nanda,4,T Th,8:30 AM,10:10 AM,Rm 304 Edward M. Dowd Art & Art History
ENGL 1A,Critical Thinking and Writing I,Danielle Morgan,4,M W F,9:15 AM,10:20 AM,Rm 232 Vari Hall
ENGL 1A,Critical Thinking and Writing I,Cruz Medina,4,T Th,12:10 PM,1:50 PM,Rm 232 Vari Hall
ENGL 1A,Critical Thinking and Writing I,Claudia McIsaac,4,T Th,2:00 PM,3:40 PM,Rm 210 O'Connor Hall
ENGL 1A,Critical Thinking and Writing I,Margarita Levantovskaya,4,M W F,2:15 PM,3:20 PM,Rm 210 O'Connor Hall
ENGL 1A,Critical Thinking and Writing I,Margarita Levantovskaya,4,M W,5:25 PM,7:10 PM,
ENGL 1A,Critical Thinking and Writing I,Margarita Levantovskaya,4,M W,3:30 PM,5:15 PM,Rm 210 O'Connor Hall
ENGL 1A,Critical Thinking and Writing I,Nicholas Leither,4,M W,7:20 PM,9:05 PM,
ENGL 1A,Critical Thinking and Writing I,Nicholas Leither,4,M W,3:30 PM,5:15 PM,Rm 110 O'Connor Hall
ENGL 1A,Critical Thinking and Writing I,Michael Lasley,4,M W F,8:00 AM,9:05 AM,Rm 304 Edward M. Dowd Art & Art History
ENGL 1A,Critical Thinking and Writing I,Michael Lasley,4,M W F,9:15 AM,10:20 AM,Rm 304 Edward M. Dowd Art & Art History
ENGL 1A,Critical Thinking and Writing I,,4,T Th,8:30 AM,10:10 AM,Rm 110 O'Connor Hall
ENGL 1A,Critical Thinking and Writing I,David Keaton,4,T Th,10:20 AM,12:00 PM,Rm 110 O'Connor Hall
ENGL 1A,Critical Thinking and Writing I,Denise Krane,4,T Th,2:00 PM,3:50 PM,
ENGL 1A,Critical Thinking and Writing I,David Keaton,4,T Th,2:00 PM,3:50 PM,
ENGL 1A,Critical Thinking and Writing I,David Keaton,4,T Th,12:10 PM,1:50 PM,Rm 204 O'Connor Hall
ENGL 1A,Critical Thinking and Writing I,Jeremiah Jeffra,4,T Th,3:50 PM,5:30 PM,Rm 210 O'Connor Hall
ENGL 1A,Critical Thinking and Writing I,Mostafa Jalal,4,M W F,8:00 AM,9:05 AM,Rm 210 O'Connor Hall
ENGL 1A,Critical Thinking and Writing I,Jacquelyn Hendricks,4,M W F,1:00 PM,2:05 PM,Rm 110 O'Connor Hall
ENGL 1A,Critical Thinking and Writing I,Kai Harris,4,T Th,10:20 AM,12:00 PM,Rm 019 Sobrato Residence
ENGL 1A,Critical Thinking and Writing I,Mathew Gomes,4,T Th,10:20 AM,12:00 PM,Rm 122 Edward M. Dowd Art & Art History
ENGL 1A,Critical Thinking and Writing I,Matthew Driscoll,4,T Th,12:10 PM,1:50 PM,Rm 210 O'Connor Hall
ENGL 1A,Critical Thinking and Writing I,Matthew Driscoll,4,T Th,10:20 AM,12:00 PM,Rm 210 O'Connor Hall
ENGL 1A,Critical Thinking and Writing I,Melissa Donegan,4,M W F,11:45 AM,12:50 PM,Rm 210 O'Connor Hall
ENGL 1A,Critical Thinking and Writing I,Melissa Donegan,4,M W F,10:30 AM,11:35 AM,Rm 210 O'Connor Hall
ENGL 1A,Critical Thinking and Writing I,Theresa Conefrey,4,M,3:30 PM,6:30 PM,
ENGL 1A,Critical Thinking and Writing I,Simone Billings,4,T Th,2:00 PM,3:50 PM,
ENGL 1H,Critical Think and Write I: Honors,Maura Tarnoff,4,M W F,9:15 AM,10:20 AM,Rm 122 Edward M. Dowd Art & Art History
ENGL 1H,Critical Think and Write I: Honors,Loring Pfeiffer,4,M W F,8:00 AM,9:05 AM,Rm 110 O'Connor Hall
ENGL 1H,Critical Think and Write I: Honors,Melissa Donegan,4,M W F,2:15 PM,3:20 PM,Rm 102 O'Connor Hall
ENGL 11A,Cultures and Ideas I,Robin Tremblay-McGaw,4,T Th,10:20 AM,12:00 PM,Rm 310 Kenna Hall
ENGL 11A,Cultures and Ideas I,Jeremiah Jeffra,4,T Th,5:40 PM,7:20 PM,
ENGL 11A,Cultures and Ideas I,Jacquelyn Hendricks,4,M W F,10:30 AM,11:35 AM,Rm 119 Music And Dance
ENGL 181,Engineering Communications: Practical Writing and Presentation Skills for Engineers,Loring Pfeiffer,4,M W F,10:30 AM,11:35 AM,Rm 103 O'Connor Hall
ENGL 181,Engineering Communications: Practical Writing and Presentation Skills for Engineers,Loring Pfeiffer,4,M W F,9:15 AM,10:20 AM,Rm 103 O'Connor Hall
ENGL 181,Engineering Communications: Practical Writing and Presentation Skills for Engineers,Theresa Conefrey,4,W,3:30 PM,6:30 PM,
ENGL 14,Introduction to Literary History and Interpretation,Robin Tremblay-McGaw,4,T Th,3:50 PM,5:30 PM,Rm 231 Aloysius Varsi Hall
ENGL 15,Introduction to Cultural Studies and Literary Theory,Kirstyn Leuner,4,T Th,3:50 PM,5:30 PM,Commons Mclaughlin-Walsh Residence Hall
ENGL 26,Introduction to Writing in STEM,Matthew Driscoll,4,T Th,3:50 PM,5:30 PM,Rm 225 Heafey Hall
ENGL 28C,Core Advanced Writing,Mostafa Jalal,4,M W F,9:15 AM,10:20 AM,Rm 209 O'Connor Hall
ENGL 54,Shakespeare,Maura Tarnoff,4,M W F,1:00 PM,2:05 PM,Rm 301 Alumni Science Hall
MECH 11,Materials and Manufacturing Processes,Panthea Sepehrband,4,T Th,10:20 AM,12:00 PM,RM 1301 Sobrato Campus for Discovery and Innovation (STEM)
ENGL 63,Intro to Literature & Religion,Jeremiah Jeffra,4,T Th,2:00 PM,3:40 PM,Rm 103 O'Connor Hall
MECH 11,Materials and Manufacturing Processes,,4,M W F,9:15 AM,10:20 AM,Rm 134 Vari Hall
MECH 11,Materials and Manufacturing Processes,,4,M W F,1:00 PM,2:05 PM,Rm 102 O'Connor Hall
ENGL 71,Fiction Writing,Kai Harris,4,T Th,12:10 PM,1:50 PM,Rm 231 Aloysius Varsi Hall
ENGL 91,Literary Magazine Production (Santa Clara Literary Review),Kirk Glaser,1,M,2:15 PM,3:15 PM,Rm 016 Benson Center
ENGL 104,Teaching Writing,Julia Voss,5,M W F,1:00 PM,2:05 PM,Rm 019 Sobrato Residence
MECH 102,IntroductionMath Meth Mechanical Engineering,Jun Wang,4,M W F,8:00 AM,9:05 AM,Rm 125 Heafey Hall
ENGL 110,New Media in Theory and Practice,Cruz Medina,5,T Th,10:20 AM,12:00 PM,Rm 163 Graham Hall
MECH 122,Fluid Mechanics I,Drazen Fabris,4,M W F,9:15 AM,10:20 AM,RM 3116 Sobrato Campus for Discovery and Innovation (STEM)
MECH 122,Fluid Mechanics,Drazen Fabris,4,M W F,11:45 AM,12:50 PM,Rm 122 Heafey Hall
MECH 122L,Fluid Mechanics I Lab,Drazen Fabris,1,M,2:15 PM,5:00 PM,Rm 214 Heafey Hall
MECH 122L,Fluid Mechanics I Lab,Drazen Fabris,1,T,2:15 PM,5:00 PM,Rm 201 Heafey Hall
MECH 122L,Fluid Mechanics I Lab,Drazen Fabris,1,W,2:15 PM,5:00 PM,Rm 214 Heafey Hall
MECH 122L,Fluid Mechanics I Lab,Drazen Fabris,1,Th,2:15 PM,5:00 PM,Rm 201 Heafey Hall
MECH 140,Dynamics,Peter Woytowitz,4,T Th,8:30 AM,10:10 AM,Rm 129 Heafey Hall
MECH 140,Dynamics,Peter Woytowitz,4,T Th,10:20 AM,12:00 PM,Rm 129 Heafey Hall
ENGL 111,Writing for Social Change,Mostafa Jalal,5,M W F,11:45 AM,12:50 PM,Rm 302 Alumni Science Hall
ENGL 141,Medieval Literature,Jacquelyn Hendricks,5,M W F,2:15 PM,3:20 PM,Rm 209 O'Connor Hall
ENGL 147,Topics in British Literature (Black & Brown Romanticism),Kirstyn Leuner,5,T Th,12:10 PM,1:50 PM,Rm 302 Alumni Science Hall
ENGL 171,Advanced Fiction Writing,Kirk Glaser,5,M W,3:30 PM,5:15 PM,Rm 302 Edward M. Dowd Art & Art History
ENGL 175EL,Advanced Creative Nonfiction,Claudia McIsaac,5,T Th,10:20 AM,12:00 PM,Rm 003 Casa Italiana Residence
ENGL 190,Senior Seminar,Michelle Burnham,5,T Th,2:00 PM,3:40 PM,Rm 309 St. Joseph's Hall
ENGL 198A,Writing Internship,Theresa Conefrey,1,,,,
ENVS 1A,Critical Thinking and Writing I,Theodore Grudin,4,M W F,9:15 AM,10:20 AM,Rm 210 O'Connor Hall
BIOL 1C,Systems L and L,James Grainger,5,Th,3:50 PM,6:35 PM,RM 3319 Sobrato Campus for Discovery and Innovation (STEM)
BIOL 1C,Systems L and L,James Grainger,5,T,12:15 PM,3:00 PM,RM 3319 Sobrato Campus for Discovery and Innovation (STEM)
BIOL 1C,Systems L and L,Michelle Chartrand,5,T,3:50 PM,6:35 PM,RM 3319 Sobrato Campus for Discovery and Innovation (STEM)
BIOL 1C,Systems L and L,Raphael Ritson-Williams,5,T,12:15 PM,3:00 PM,
BIOL 1C,Systems L and L,Raphael Ritson-Williams,5,T,8:45 AM,11:30 AM,RM 3319 Sobrato Campus for Discovery and Innovation (STEM)
BIOL 1C,Systems L and L,Michelle Chartrand,5,M W F,10:30 AM,11:35 AM,RM 2302 Sobrato Campus for Discovery and Innovation (STEM)
BIOL 1C,Systems L and L,James Grainger,5,M W F,9:15 AM,10:20 AM,RM 2302 Sobrato Campus for Discovery and Innovation (STEM)
BIOL 3,Fitness Physiology L and L,Farzaneh Ghiasvand,4,W,2:15 PM,5:00 PM,Rm 262 Alumni Science Hall
BIOL 3,Fitness Physiology L and L,Farzaneh Ghiasvand,4,M,2:15 PM,5:00 PM,Rm 262 Alumni Science Hall
BIOL 3,Fitness Physiology L and L,Farzaneh Ghiasvand,4,M W,5:25 PM,7:10 PM,
BIOL 6,The Oceans L and L,Dawn Hart,4,Th,2:15 PM,5:00 PM,Rm 127 Alumni Science Hall
BIOL 6,The Oceans L and L,Dawn Hart,4,T,2:15 PM,5:00 PM,Rm 127 Alumni Science Hall
BIOL 6,The Oceans L and L,Dawn Hart,4,T Th,12:10 PM,1:50 PM,RM 3115 Sobrato Campus for Discovery and Innovation (STEM)
BIOL 101,Research Seminar,,2,W,11:45 AM,12:50 PM,
BIOL 104,Human Anatomy L and L,Michelle Badura,5,Th,2:15 PM,5:00 PM,RM 2317 Sobrato Campus for Discovery and Innovation (STEM)
BIOL 104,Human Anatomy L and L,Michelle Badura,5,T,2:15 PM,5:00 PM,RM 2317 Sobrato Campus for Discovery and Innovation (STEM)
BIOL 104,Human Anatomy L and L,Michelle Badura,5,T Th,10:20 AM,12:00 PM,Rm 111 Kenna Hall
BIOL 114,Immunology L and L,,5,,,,
BIOL 114,Immunology L and L,,5,,,,
BIOL 114,Immunology L and L,,5,,,,
BIOL 117,Epidemiology L and L,,5,W,2:15 PM,5:00 PM,
BIOL 117,Epidemiology L and L,,5,T,2:15 PM,5:00 PM,Rm 256 Alumni Science Hall
BIOL 117,Epidemiology L and L,,5,M W F,9:15 AM,10:20 AM,Rm 304 Kenna Hall
BIOL 122,Neurobiology L and L,Laura Cocas,5,Th,3:50 PM,6:35 PM,RM 3304 Sobrato Campus for Discovery and Innovation (STEM)
BIOL 122,Neurobiology L and L,Laura Cocas,5,Th,12:10 PM,3:25 PM,RM 3304 Sobrato Campus for Discovery and Innovation (STEM)
BIOL 122,Neurobiology L and L,Laura Cocas,5,T Th,10:20 AM,12:00 PM,Rm 220 Alumni Science Hall
BIOL 124,Human Physiology L and L,Giorgio Lagna,5,F,2:15 PM,5:00 PM,RM 2305 Sobrato Campus for Discovery and Innovation (STEM)
BIOL 124,Human Physiology L and L,Giorgio Lagna,5,W,2:15 PM,5:00 PM,RM 2305 Sobrato Campus for Discovery and Innovation (STEM)
BIOL 124,Human Physiology L and L,Giorgio Lagna,5,M W F,9:15 AM,10:20 AM,Rm 111 Kenna Hall
BIOL 156,General Ecology L and L,Brody Sandel,5,T,2:15 PM,5:00 PM,RM 3306 Sobrato Campus for Discovery and Innovation (STEM)
BIOL 156,General Ecology L and L,Brody Sandel,5,T Th,12:10 PM,1:50 PM,Rm 212 Kenna Hall
BUSN 191,Peer Educators in Business,Timothy Harris,1,,,,
BIOL 160,Biostatistics L and L,John Dialesandro,5,Th,8:30 AM,11:15 AM,
BIOL 160,Biostatistics L and L,John Dialesandro,5,W,2:15 PM,5:00 PM,
BIOL 160,Biostatistics L and L,John Dialesandro,5,M W F,10:30 AM,11:35 AM,
BIOL 174,Cell Biology L and L,Brian Bayless,5,W,2:15 PM,5:00 PM,RM 3306 Sobrato Campus for Discovery and Innovation (STEM)
BIOL 174,Cell Biology L and L,Brian Bayless,5,T,2:15 PM,5:00 PM,
BIOL 174,Cell Biology L and L,Brian Bayless,5,M W F,1:00 PM,2:05 PM,Rm 220 Alumni Science Hall
BIOL 175,Molecular Biology L and L,Angel Islas,5,Th,2:15 PM,5:00 PM,RM 3307 Sobrato Campus for Discovery and Innovation (STEM)
BIOL 175,Molecular Biology L and L,Angel Islas,5,T,2:15 PM,5:00 PM,RM 3307 Sobrato Campus for Discovery and Innovation (STEM)
BIOL 175,Molecular Biology L and L,Angel Islas,5,T Th,12:10 PM,1:50 PM,Rm 220 Alumni Science Hall
BIOL 188,STEM Education and Justice,Katy Korsmeyer,3,M,5:30 PM,7:00 PM,
BUSN 198,Internship/Practicum,,5-Jan,,,,
BUSN 198R,Retail Studies Internship,,5-Jan,,,,
BIOL 195,Undergraduate Research,Craig Stephens,3-Jan,,,,
BIOL 195,Undergraduate Research,Justen Whittall,3-Jan,,,,
BIOL 195,Undergraduate Research,Katherine Saxton,3-Jan,,,,
BIOL 195,Undergraduate Research,Brody Sandel,3-Jan,,,,
BIOL 195,Undergraduate Research,Christelle Sabatier,3-Jan,,,,
BIOL 195,Undergraduate Research,Leilani Miller,3-Jan,,,,
BIOL 195,Undergraduate Research,Michelle Chartrand,3-Jan,,,,
BIOL 195,Undergraduate Research,Katy Korsmeyer,3-Jan,,,,
BIOL 195,Undergraduate Research,Angel Islas,3-Jan,,,,
BIOL 195,Undergraduate Research,David Hess,3-Jan,,,,
BIOL 195,Undergraduate Research,Dawn Hart,3-Jan,,,,
BIOL 195,Undergraduate Research,Pascale Guiton,3-Jan,,,,
BIOL 195,Undergraduate Research,James Grainger,3-Jan,,,,
BIOL 195,Undergraduate Research,Janice Edgerly Rooks,3-Jan,,,,
BIOL 195,Undergraduate Research,Elizabeth Dahlhoff,3-Jan,,,,
BIOL 195,Undergraduate Research,Laura Cocas,3-Jan,,,,
BIOL 195,Undergraduate Research,Brian Bayless,3-Jan,,,,
BIOL 195,Undergraduate Research,Michelle Badura,3-Jan,,,,
ACTG 120,Accounting Data Analysis and Visualization,Danny Wallace,5,T Th,2:00 PM,3:40 PM,
ACTG 130,Intermediate Financial Accounting I,Haidan Li,5,T Th,10:20 AM,12:00 PM,Rm 207 Lucas Hall
ECON 41,Data Analysis and Econometrics,Adrien Bouguen,4,T Th,8:30 AM,10:10 AM,Rm 133 Vari Hall
ECON 41,Data Analysis and Econometrics,Adrien Bouguen,4,T Th,10:20 AM,12:00 PM,Rm 133 Vari Hall
ACTG 130,Intermediate Financial Accounting I,Haidan Li,5,T Th,12:10 PM,1:50 PM,Rm 207 Lucas Hall
ACTG 132,Advanced Financial Accounting,Matthew Cedergren,5,M W,5:25 PM,7:10 PM,
ECON 42,Data Analysis Applications,Adrien Bouguen,2,T,3:50 PM,5:30 PM,Rm 210 Lucas Hall
ACTG 134,Accounting Information Systems,,5,T Th,10:20 AM,12:00 PM,RM 3116 Sobrato Campus for Discovery and Innovation (STEM)
ECON 42,Data Analysis Applications,Adrien Bouguen,2,Th,3:50 PM,5:30 PM,Rm 210 Lucas Hall
ACTG 135,Auditing,Joseph Maglione,5,T Th,3:50 PM,5:30 PM,Rm 307 Lucas Hall
ECON 113,Intermediate Microeconomics I,Hui Huang,5,T Th,10:20 AM,12:00 PM,Rm 306 Kenna Hall
ACTG 136,Cost Accounting,Siqi Li,5,M W F,9:15 AM,10:20 AM,Rm 206 Lucas Hall
ACTG 136,Cost Accounting,Siqi Li,5,M W F,10:30 AM,11:35 AM,Rm 206 Lucas Hall
ACTG 144,Accounting Ethics,Guido van Drunen,5,T Th,3:50 PM,5:30 PM,Rm 306 Lucas Hall
ACTG 161,Junior Contemporary Business Seminar Series I,Michael Calegari,2,W,3:30 PM,5:15 PM,
CHEM 11,General Chemistry I L and L,,5,F,2:15 PM,5:05 PM,
CHEM 11,General Chemistry I L and L,Megan Tichy,5,F,2:15 PM,5:05 PM,
CHEM 11,General Chemistry I L and L,,5,Th,3:20 PM,6:10 PM,
CHEM 11,General Chemistry I L and L,,5,Th,3:20 PM,6:10 PM,
CHEM 11,General Chemistry I L and L,,5,Th,3:20 PM,6:10 PM,
CHEM 11,General Chemistry I L and L,Megan Tichy,5,Th,12:10 PM,3:00 PM,
CHEM 11,General Chemistry I L and L,Hoda Mirafzal,5,Th,12:10 PM,3:00 PM,
CHEM 11,General Chemistry I L and L,Grace Stokes,5,Th,12:10 PM,3:00 PM,
CHEM 11,General Chemistry I L and L,,5,W,5:30 PM,8:20 PM,
CHEM 11,General Chemistry I L and L,,5,W,5:30 PM,8:20 PM,
CHEM 11,General Chemistry I L and L,,5,W,2:15 PM,5:05 PM,
CHEM 11,General Chemistry I L and L,,5,W,2:15 PM,5:05 PM,
CHEM 11,General Chemistry I L and L,Megan Tichy,5,W,2:15 PM,5:05 PM,
CHEM 11,General Chemistry I L and L,Steven Suljak,5,T,3:20 PM,6:10 PM,
CHEM 11,General Chemistry I L and L,,5,T,3:20 PM,6:10 PM,
CHEM 11,General Chemistry I L and L,Grace Stokes,5,T,12:10 PM,3:00 PM,
CHEM 11,General Chemistry I L and L,Megan Tichy,5,T,12:10 PM,3:00 PM,
CHEM 11,General Chemistry I L and L,,5,T,8:20 AM,11:10 AM,
CHEM 11,General Chemistry I L and L,Megan Tichy,5,T,8:20 AM,11:10 AM,
CHEM 11,General Chemistry I L and L,,5,M,2:15 PM,5:05 PM,
CHEM 11,General Chemistry I L and L,Ian Carter-O'Connell,5,M,2:15 PM,5:05 PM,
CHEM 11,General Chemistry I L and L,Megan Tichy,5,M,2:15 PM,5:05 PM,
CHEM 11,General Chemistry I L and L,Hoda Mirafzal,5,T Th,10:20 AM,12:00 PM,Rm 102 Kenna Hall
CHEM 11,General Chemistry I L and L,Hoda Mirafzal,5,T Th,8:30 AM,10:10 AM,Rm 102 Kenna Hall
CHEM 11,General Chemistry I L and L,Grace Stokes,5,M W F,1:00 PM,2:05 PM,Rm 102 Kenna Hall
CHEM 11,General Chemistry I L and L,Linda Brunauer,5,M W F,1:00 PM,2:05 PM,Rm 104 Kenna Hall
CHEM 11,General Chemistry I L and L,Grace Stokes,5,M W F,11:45 AM,12:50 PM,Rm 102 Kenna Hall
CHEM 11,General Chemistry I L and L,Amy Shachter,5,M W F,11:45 AM,12:50 PM,Rm 216 Kenna Hall
CHEM 11,General Chemistry I L and L,Linda Brunauer,5,M W F,10:30 AM,11:35 AM,Rm 102 Kenna Hall
CHEM 11,General Chemistry I L and L,Amy Shachter,5,M W F,10:30 AM,11:35 AM,Rm 216 Kenna Hall
CHEM 11,General Chemistry I L and L,Linda Brunauer,5,M W F,9:15 AM,10:20 AM,Rm 102 Kenna Hall
CHEM 11,General Chemistry I L and L,Meaghan Deegan,5,M W F,9:15 AM,10:20 AM,Rm 216 Kenna Hall
CHEM 11,General Chemistry I L and L,Amy Shachter,5,M W F,8:00 AM,9:05 AM,Rm 102 Kenna Hall
ACTG 171,Sr Contemporary Business Seminar I,Michael Calegari,2,W,3:30 PM,5:15 PM,
ECON 113,Intermediate Microeconomics I,Hui Huang,5,T Th,12:10 PM,1:50 PM,Rm 306 Kenna Hall
CHEM 11R,General Chemistry I Recitation,Steven Suljak,0.5,T,7:15 PM,8:20 PM,
CHEM 11R,General Chemistry I Recitation,Steven Suljak,0.5,T,6:00 PM,7:05 PM,
ACTG 198,Accounting Internship,Wendy Donohoe,5-Feb,,,,
CHEM 14,Advanced Chemical Principles,Meaghan Deegan,5,T,12:10 PM,4:10 PM,
CHEM 14,Advanced Chemical Principles,Steven Suljak,5,M W F,10:30 AM,11:35 AM,Rm 310 Kenna Hall
CHEM 15,Introduction to Research,Ian Carter-O'Connell,2,W,2:15 PM,5:05 PM,
CHEM 31,Organic Chemistry I L&L,,5,F,2:15 PM,5:05 PM,
CHEM 31,Organic Chemistry I L&L,,5,Th,12:10 PM,3:00 PM,
CHEM 31,Organic Chemistry I L&L,Brian McNelis,5,T Th,10:20 AM,12:00 PM,
CHEM 32,Organic Chemistry II,,5,F,2:15 PM,5:05 PM,
CHEM 32,Organic Chemistry II,,5,Th,3:20 PM,6:10 PM,
CHEM 32,Organic Chemistry II,,5,Th,12:10 PM,3:00 PM,
CHEM 32,Organic Chemistry II,Beatrice Ruhland,5,W,5:30 PM,8:20 PM,
CHEM 32,Organic Chemistry II,Beatrice Ruhland,5,W,2:15 PM,5:05 PM,
CHEM 32,Organic Chemistry II,,5,W,2:15 PM,5:05 PM,
CHEM 32,Organic Chemistry II,Beatrice Ruhland,5,T,3:20 PM,6:10 PM,
CHEM 32,Organic Chemistry II,Beatrice Ruhland,5,T,12:10 PM,3:00 PM,
CHEM 32,Organic Chemistry II,,5,T,8:20 AM,11:10 AM,
CHEM 32,Organic Chemistry II,Beatrice Ruhland,5,M,2:15 PM,5:05 PM,
CHEM 32,Organic Chemistry II,Benjamin Stokes,5,M W F,11:45 AM,12:50 PM,Rm 104 Kenna Hall
CHEM 32,Organic Chemistry II,Benjamin Stokes,5,M W F,10:30 AM,11:35 AM,Rm 104 Kenna Hall
CHEM 32,Organic Chemistry II,Eric Tillman,5,M W F,9:15 AM,10:20 AM,Rm 104 Kenna Hall
CHEM 32,Organic Chemistry II,Michael Carrasco,5,T Th,12:10 PM,1:50 PM,Rm 102 Kenna Hall
CHEM 99,Independent Laboratory,,1,,,,
CHEM 115,Chemistry Seminar,Meaghan Deegan,0.5,F,4:00 PM,5:00 PM,
CHEM 131,Bioorganic Chemistry,Michael Carrasco,5,T Th,10:20 AM,12:00 PM,
CHEM 141,Biochemistry I,Ian Carter-O'Connell,5,M W F,11:45 AM,12:50 PM,Rm 308 Kenna Hall
CHEM 150,Biophysical Chemistry,Paul Abbyad,5,M W F,9:15 AM,10:20 AM,Rm 308 Kenna Hall
COEN 161L,Web Development Lab,Arman Elahi,1,F,2:15 PM,5:00 PM,Rm 215 Heafey Hall
COEN 166,Artificial Intelligence,Ying Liu,4,M W F,9:15 AM,10:20 AM,Rm 108 Alameda hall
COEN 166L,Artificial Intelligence Laboratory,Ying Liu,1,T,2:15 PM,5:00 PM,Rm 106 Heafey Hall
BUSN 70,Contemporary Business Issues,Timothy Harris,4,T Th,12:10 PM,1:50 PM,Rm 310 Lucas Hall
BUSN 70,Contemporary Business Issues,Timothy Harris,4,T Th,10:20 AM,12:00 PM,Rm 310 Lucas Hall
BUSN 70,Contemporary Business Issues,Timothy Harris,4,T Th,2:00 PM,3:40 PM,Rm 310 Lucas Hall
BUSN 70,Contemporary Business Issues,Tanya Monsef,4,T Th,8:30 AM,10:10 AM,Rm 308 Lucas Hall
BUSN 70,Contemporary Business Issues,Stephen McKay,4,T Th,12:10 PM,1:50 PM,Rm 164 Graham Hall
BUSN 70,Contemporary Business Issues,,4,T Th,2:00 PM,3:40 PM,Rm 129 Vari Hall
BUSN 70,Contemporary Business Issues,,4,T Th,12:10 PM,1:50 PM,Rm 008 Casa Italiana Residence
BUSN 70,Contemporary Business Issues,Michael Smith,4,T Th,3:50 PM,5:30 PM,Rm 208 Lucas Hall
BUSN 70,Contemporary Business Issues,Michael Polacek,4,M W,3:30 PM,5:15 PM,Rm 308 Lucas Hall
BUSN 70,Contemporary Business Issues,Michael Holubar,4,M W F,2:15 PM,3:20 PM,Rm 206 Lucas Hall
BUSN 70,Contemporary Business Issues,Michael Holubar,4,M W F,11:45 AM,12:50 PM,Rm 309 Lucas Hall
BUSN 70,Contemporary Business Issues,James Burns,4,T Th,10:20 AM,12:00 PM,Rm 216 Kenna Hall
BUSN 70,Contemporary Business Issues,Craig Martin,4,T Th,2:00 PM,3:40 PM,
BUSN 70,Contemporary Business Issues,,4,T Th,3:50 PM,5:30 PM,Rm 310 Lucas Hall
BUSN 70,Contemporary Business Issues,,4,M W F,10:30 AM,11:35 AM,RM 3115 Sobrato Campus for Discovery and Innovation (STEM)
BUSN 70,Contemporary Business Issues,,4,M W F,9:15 AM,10:20 AM,Rm 133 Vari Hall
BUSN 70,Contemporary Business Issues,Ahmed Rubaie,4,M W,3:30 PM,5:15 PM,Rm 210 Lucas Hall
BUSN 70,Contemporary Business Issues,Abha Singhvi,4,T Th,10:20 AM,12:00 PM,Rm 309 Lucas Hall
BUSN 70,Contemporary Business Issues,Abha Singhvi,4,T Th,8:30 AM,10:10 AM,Rm 309 Lucas Hall
COEN 166L,Artificial Intelligence Laboratory,Ying Liu,1,W,2:15 PM,5:00 PM,Rm 106 Heafey Hall
COEN 171,Principles of Design and Implementation of Programming Languages,Darren Atkinson,4,M W F,1:00 PM,2:05 PM,Rm 208 Edward M. Dowd Art & Art History
COEN 174,Software Engineering,Shiva Jahangiri,4,T Th,10:20 AM,12:00 PM,Rm 128 Vari Hall
COMM 30,Digital Filmmaking,,5,F,8:30 AM,10:00 AM,
COMM 30,Digital Filmmaking,,5,W,10:30 AM,12:00 PM,
COMM 30,Digital Filmmaking,,5,W,8:30 AM,10:00 AM,
COMM 30,Digital Filmmaking,Michele Sieglitz,5,Th,2:00 PM,3:30 PM,
COMM 30,Digital Filmmaking,Michele Sieglitz,5,W,2:15 PM,3:45 PM,
COMM 30,Digital Filmmaking,Michele Sieglitz,5,T,2:00 PM,3:30 PM,
COMM 30,Digital Filmmaking,Guillermo Rodriguez,5,T Th,12:10 PM,1:50 PM,Rm 109 Vari Hall
COMM 30,Digital Filmmaking,Nicole Opper,5,T Th,10:20 AM,12:00 PM,Rm 109 Vari Hall
