courseSection,courseName,instructor,units,days,startTimes,endTimes,location
SOCI 120,Survey Research and Stats Analysis,Di Di,5,T Th,12:10 PM,1:50 PM,Rm 134 Vari Hall
SOCI 121,Research Capstone,Patrick Lopez-Aguado,5,T Th,12:10 PM,1:50 PM,Rm 105 Alameda hall
SOCI 136,Deviant Behavior,,5,M W,3:30 PM,5:15 PM,Rm 101 Alameda hall
SOCI 131,Sociology of Gender,Molly King,5,T Th,2:00 PM,3:40 PM,Rm 101 Alameda hall
SOCI 175,Race and Inequality,,5,,,,
SOCI 157,Sociology of Family,Cara Chiaraluce,5,M W F,10:30 AM,11:35 AM,
SOCI 162,Gender and Justice,Patrick Lopez-Aguado,5,T Th,3:50 PM,5:30 PM,Rm 206 Daly Science 200
SOCI 165,Human Services,Sheila Yuter,5,M W,3:30 PM,5:15 PM,Commons Mclaughlin-Walsh Residence Hall
THTR 1A,Critical Thinking and Writing I,,4,M W F,11:45 AM,12:50 PM,Rm 231 Mayer Theatre
ANTH 3,Introduction to Cultural Anthropology,Ryan Anderson,4,M W F,10:30 AM,11:35 AM,Rm 122 Heafey Hall
ANTH 11A,Cultures and Ideas I (Human Rights and Humanitarianism),Mythri Jegathesan,4,T Th,10:20 AM,12:00 PM,Rm 102 Alameda hall
ANTH 11A,Cultures and Ideas I (Peace and Violence),Samantha Grace,4,M W F,4:45 PM,5:50 PM,Rm 119 Music And Dance
ARTS 30,Basic Drawing,Jessica Eastburn,4,M W,8:00 AM,10:20 AM,Rm 314 Edward M. Dowd Art & Art History
ARTS 30,Basic Drawing,Jessica Eastburn,4,T Th,11:00 AM,1:20 PM,Rm 314 Edward M. Dowd Art & Art History
THTR 8,Acting for Nonmajors,Kimberly Hill,4,T Th,3:50 PM,5:30 PM,Rm 224 Mayer Theatre - Fess Parker Theatre
THTR 8,Acting for Nonmajors,Aldo Billingslea,4,T Th,8:30 AM,10:10 AM,Rm 226 Mayer Theatre - Rehearsal Hall 2
ARTS 32,Two-Dimensional Design,Jessica Eastburn,4,M W,1:00 PM,3:20 PM,Rm 314 Edward M. Dowd Art & Art History
THTR 10,Introduction to Performance Collaboration,Jeffrey Bracco,4,M W F,1:00 PM,2:05 PM,Rm 226 Mayer Theatre - Rehearsal Hall 2
ARTS 36,Ditto! The Technology of Print,,4,M W,3:30 PM,5:50 PM,Rm 310 Edward M. Dowd Art & Art History
ANTH 135,Human Development and Sexuality,Veronica Miranda,5,T Th,2:00 PM,3:40 PM,Commons Mclaughlin-Walsh Residence Hall
MUSC 134,Popular Music,Christina Zanfagna,5,T Th,12:10 PM,1:50 PM,Rm 106 Music And Dance - Rehearsal Hall
THTR 11A,Cultures and Ideas I (All the World's a Stage),Lazlo Ilya Pearlman,4,M W F,9:15 AM,10:20 AM,Rm 231 Mayer Theatre
THTR 11A,Cultures and Ideas I ((De)Colonial Narratives),Karina Gutierrez,4,T Th,10:20 AM,12:00 PM,Rm 226 Mayer Theatre - Rehearsal Hall 2
ANTH 138,Biology and Poverty,Isaura Cruz,5,M W F,8:00 AM,9:05 AM,Commons Mclaughlin-Walsh Residence Hall
THTR 30,Introduction to Design,Heather Kenyon,4,T Th,10:20 AM,12:00 PM,Rm 231 Mayer Theatre
ANTH 1,Introduction to Biological Anthropology,Ana Casareto,4,W,2:00 PM,5:15 PM,
ANTH 1,Introduction to Biological Anthropology,Ana Casareto,4,M W F,10:30 AM,11:35 AM,Rm 164 Graham Hall
THTR 31,Introduction to Production,Erik Sunderman,4,M W F,10:30 AM,11:35 AM,Rm 224 Mayer Theatre - Fess Parker Theatre
ANTH 148,Historical Archaeology,Nathan Anderson,5,T Th,10:20 AM,12:00 PM,Rm 210 Edward M. Dowd Art & Art History
THTR 32,Costume Construction,,4,T Th,8:30 AM,10:10 AM,Rm 121 Mayer Theatre - Costume Shop
ANTH 157,Family,Samantha Grace,5,M W F,1:00 PM,2:05 PM,Rm 201 O'Connor Hall
THTR 33,Stage Lighting,Derek Duarte,4,M W F,1:00 PM,2:05 PM,Rm 224 Mayer Theatre - Fess Parker Theatre
THTR 41A,Critical Perspect in Perform A,Karina Gutierrez,4,T Th,2:00 PM,3:40 PM,Rm 301 Mayer Theatre - Library
THTR 165,History American Musical Thtr,Jeffrey Bracco,5,M W F,11:45 AM,12:50 PM,Rm 301 Mayer Theatre - Library
THTR 196,Senior Project: Directing (Fall One Acts),Jeffrey Bracco,5,,,,
COEN 10,Introduction to Programming,Angela Musurlian,4,M W F,10:30 AM,11:35 AM,RM 3301 Sobrato Campus for Discovery and Innovation (STEM)
COEN 10,Introduction to Programming,Angela Musurlian,4,M W F,11:45 AM,12:50 PM,RM 3301 Sobrato Campus for Discovery and Innovation (STEM)
MECH 151,Finite Element Method,Michael Taylor,4,T Th,5:10 PM,7:00 PM,
WGST 11A,Cultures and Ideas I (Gender,Mukta Sharangpani,4,T Th,12:10 PM,1:50 PM,Rm 201 O'Connor Hall
CHEM 182,Undergraduate Research,Paul Abbyad,3-Jan,,,,
CHEM 182,Undergraduate Research,Linda Brunauer,3-Jan,,,,
CHEM 182,Undergraduate Research,Michael Carrasco,3-Jan,,,,
CHEM 182,Undergraduate Research,Ian Carter-O'Connell,3-Jan,,,,
CHEM 182,Undergraduate Research,Meaghan Deegan,3-Jan,,,,
CHEM 182,Undergraduate Research,Amelia Fuller,3-Jan,,,,
CHEM 182,Undergraduate Research,Benjamin Stokes,3-Jan,,,,
CHEM 182,Undergraduate Research,Brian McNelis,3-Jan,,,,
CHEM 182,Undergraduate Research,Eric Tillman,3-Jan,,,,
CHEM 182,Undergraduate Research,Steven Suljak,3-Jan,,,,
CHEM 182,Undergraduate Research,Grace Stokes,3-Jan,,,,
CHEM 182,Undergraduate Research,Korin Wheeler,3-Jan,,,,
WGST 50,Introduction to Women's and Gender Studies,,4,M W,3:30 PM,5:15 PM,Rm 308 Kenna Hall
WGST 104,Beauty,Mukta Sharangpani,5,T Th,3:50 PM,5:30 PM,Rm 308 Kenna Hall
CHEM 183,Senior Research Experience,Paul Abbyad,3,,,,
CHEM 183,Senior Research Experience,Linda Brunauer,3,,,,
CHEM 183,Senior Research Experience,Michael Carrasco,3,,,,
CHEM 183,Senior Research Experience,Ian Carter-O'Connell,3,,,,
CHEM 183,Senior Research Experience,Meaghan Deegan,3,,,,
CHEM 183,Senior Research Experience,Amelia Fuller,3,,,,
CHEM 183,Senior Research Experience,Benjamin Stokes,3,,,,
CHEM 183,Senior Research Experience,Brian McNelis,3,,,,
CHEM 183,Senior Research Experience,Eric Tillman,3,,,,
CHEM 183,Senior Research Experience,Steven Suljak,3,,,,
CHEM 183,Senior Research Experience,Grace Stokes,3,,,,
CHEM 183,Senior Research Experience,Korin Wheeler,3,,,,
MECH 152,Composite Materials,T. Calvin Tszeng,4,M W,5:10 PM,7:00 PM,
MECH 153,Aerospace Structures,Sthanu Mahadev,4,T Th,12:10 PM,1:50 PM,Rm 225 Heafey Hall
COEN 11,Advanced Programming,Kai Lukoff,4,M W F,10:30 AM,11:35 AM,Rm 129 Heafey Hall
ARAB 1,Arabic Language and Culture I,Mohammed Kadalah,4,M W F,11:45 AM,12:50 PM,Rm 204 O'Connor Hall
MECH 160,Modern Instrumentation for Engineers,Mark Mungal,4,M W F,9:15 AM,10:20 AM,Rm 214 Bergin Hall
ARAB 137,Arabic Culture and Society,Mohammed Kadalah,5,M W F,2:15 PM,3:20 PM,
ANTH 2,Introduction to Archaeology,,4,M,2:15 PM,5:15 PM,
ANTH 2,Introduction to Archaeology,,4,M W F,9:15 AM,10:20 AM,Rm 101 Alameda hall
ANTH 2,Introduction to Archaeology,,4,T,2:00 PM,5:00 PM,
ANTH 2,Introduction to Archaeology,,4,T Th,8:30 AM,10:10 AM,Rm 201 O'Connor Hall
MECH 160L,Modern Instrumentation for Engineers Lab,Mark Mungal,1,M,2:15 PM,5:00 PM,Rm 107 Heafey Hall
CHIN 1,Introduction to Chinese Language and Chinese-Speaking Cultures I,Hsin-hung Yeh,4,M W F,9:15 AM,10:20 AM,Rm 116 Bergin Hall
HIST 11A,Cultures and Ideas I (Across the Pacific),,4,M W F,1:00 PM,2:05 PM,Rm 122 Heafey Hall
AMTH 106,Differential Equations,Magda Metwally,4,M W F,9:15 AM,10:20 AM,
CHST 3,Child Studies,Elizabeth Day,4,M W F,8:00 AM,9:05 AM,Rm 164 Graham Hall
MECH 160L,Modern Instrumentation for Engineers Lab,Mark Mungal,1,W,2:15 PM,5:00 PM,Rm 107 Heafey Hall
CHIN 1,Introduction to Chinese Language and Chinese-Speaking Cultures I,Yujie Ge,4,M W F,1:00 PM,2:05 PM,Rm 104 Alameda hall
MECH 160L,Modern Instrumentation for Engineers Lab,Mark Mungal,1,F,2:15 PM,5:00 PM,Rm 107 Heafey Hall
CHST 4,Cultural Competence and Humility,Brita Bookser,4,M W F,10:30 AM,11:35 AM,Rm 102 O'Connor Hall
HIST 11A,Cultures and Ideas I (Across the Pacific),,4,M W F,2:15 PM,3:20 PM,Rm 103 O'Connor Hall
COEN 11,Advanced Programming,Silvia Figueira,4,M W F,11:45 AM,12:50 PM,Rm 108 Alameda hall
MECH 172,Special topic in Thermofluids & Energy:,,4,,,,
ELEN 162L,Quantum & Parallel Algorithms Lab,Aleksandar Zecevic,1,,,,
CHST 102,Middle Childhood,Elizabeth Day,4,M W F,9:15 AM,10:20 AM,Rm 164 Graham Hall
CHIN 21,Chinese Language and Chinese-Speaking Cultures I,Hsin-hung Yeh,4,M W F,11:45 AM,12:50 PM,Rm 231 Aloysius Varsi Hall
ELEN 164,Introduction to Power Electronics,Shoba Krishnan,0 - 6,T Th,5:10 PM,7:00 PM,
MECH 194,Advanced Design I: Tools,T. Calvin Tszeng,3,M W F,10:30 AM,11:35 AM,Rm 306 Kenna Hall
CHIN 100,Advanced Chinese I,Yujie Ge,5,M W F,2:15 PM,3:20 PM,Rm 104 Alameda hall
HIST 11A,Cultures and Ideas I (Across the Pacific),,4,T Th,10:20 AM,12:00 PM,Rm 101 Alameda hall
AMTH 106,Differential Equations,Magda Metwally,4,M W F,9:15 AM,10:20 AM,Rm 212 Kenna Hall
CHIN 125,Love/Affection in Sino Films,Hsin-hung Yeh,5,M W F,1:00 PM,2:05 PM,Rm 231 Aloysius Varsi Hall
CHEM 184,Capstone Research Experience,Paul Abbyad,3,,,,
CHEM 184,Capstone Research Experience,Linda Brunauer,3,,,,
CHEM 184,Capstone Research Experience,Michael Carrasco,3,,,,
CHEM 184,Capstone Research Experience,Ian Carter-O'Connell,3,,,,
CHEM 184,Capstone Research Experience,Meaghan Deegan,3,,,,
CHEM 184,Capstone Research Experience,Amelia Fuller,3,,,,
CHEM 184,Capstone Research Experience,Benjamin Stokes,3,,,,
CHEM 184,Capstone Research Experience,Brian McNelis,3,,,,
CHEM 184,Capstone Research Experience,Eric Tillman,3,,,,
CHEM 184,Capstone Research Experience,Steven Suljak,3,,,,
CHEM 184,Capstone Research Experience,Grace Stokes,3,,,,
CHEM 184,Capstone Research Experience,Korin Wheeler,3,,,,
ELEN 164L,Introduction to Power Electronics Lab,Shoba Krishnan,1,W,2:15 PM,5:00 PM,RM 4005 Sobrato Campus for Discovery and Innovation (STEM)
FREN 1,Introduction to French Language and Francophone Cultures I,Jeffrey Burkholder,4,M W F,1:00 PM,2:05 PM,Rm 007 Casa Italiana Residence
ELSJ 9,ELSJ Milestone,,1,,,,
CHST 106,Urban Education and Multiculturalism,,5,M W F,2:15 PM,3:20 PM,Rm 101 Alameda hall
HIST 11A,Cultures and Ideas I (Civilization & the City),,4,M W F,8:00 AM,9:05 AM,Rm 225 Heafey Hall
ELSJ 22,Solidarity with the Community,,2,W,5:25 PM,7:05 PM,
COEN 12,Abstract Data Types and Data Structures,Xiang Li,4,,,,
CHST 138,Exceptional Child,Cary Watson,5,T Th,12:10 PM,1:50 PM,Rm 109 O'Connor Hall
FREN 1,Introduction to French Language and Francophone Cultures I,,4,M W F,9:15 AM,10:20 AM,Rm 103 Alameda hall
CHST 181,Senior Capstone 1,Omar Davila,5,T Th,2:00 PM,3:40 PM,
ELEN 164L,Introduction to Power Electronics Lab,Shoba Krishnan,1,T,2:15 PM,5:00 PM,RM 4005 Sobrato Campus for Discovery and Innovation (STEM)
COEN 11L,Advanced Programming Laboratory,Kai Lukoff,1,Th,9:15 AM,12:00 PM,Rm 203 Heafey Hall
HIST 11A,Cultures and Ideas I (Civilization & the City),,4,M W F,11:45 AM,12:50 PM,Rm 209 O'Connor Hall
HIST 11A,Cultures and Ideas I (War & Society in Modern Age),Gregory Wigmore,4,T Th,3:50 PM,5:30 PM,Rm 209 O'Connor Hall
HIST 11H,Cultures and Ideas I - Honors (Medicine,Matthew Newsom Kerr,4,T Th,10:20 AM,12:00 PM,Rm 106 O'Connor Hall
HIST 12A,Cultures and Ideas II (Transnational Migration),,4,M W,3:30 PM,5:15 PM,Rm 225 Heafey Hall
CSCI 62,Advanced Programming,Smita Ghosh,4,M W F,9:15 AM,10:20 AM,Rm 107 O'Connor Hall
CSCI 62,Advanced Programming,Natalie Linnell,4,M W F,4:45 PM,5:50 PM,Rm 107 O'Connor Hall
COEN 11L,Advanced Programming Laboratory,Kai Lukoff,1,Th,2:15 PM,5:00 PM,Rm 203 Heafey Hall
CSCI 180,Computer Security,Shiva Houshmand Yazdi,5,M W F,11:45 AM,12:50 PM,Rm 104 O'Connor Hall
CSCI 183,Data Science,Smita Ghosh,5,M W F,11:45 AM,12:50 PM,Rm 306 Kenna Hall
COEN 11L,Advanced Programming Laboratory,Silvia Figueira,1,F,2:15 PM,5:00 PM,Rm 203 Heafey Hall
CSCI 187,The Design and Management of Software,Natalie Linnell,5,M W F,2:15 PM,3:20 PM,Rm 205 O'Connor Hall
DANC 40,Jazz Dance I,Pauline Kanter,2,M W F,9:15 AM,10:20 AM,Rm 124 Music And Dance - Studio A
COEN 12L,Abstract Data Types and Data Structures Laboratory,Xiang Li,1,T,2:15 PM,5:00 PM,Rm 224 Heafey Hall
ARTS 143,Intermediate Painting,Ryan Reynolds,5,T Th,2:00 PM,4:20 PM,Rm 320 Edward M. Dowd Art & Art History
FREN 1,Introduction to French Language and Francophone Cultures I,,4,M W F,10:30 AM,11:35 AM,Rm 163 Graham Hall
ELSJ 135,Research in Social Entrepreneurship,,5,W,3:30 PM,6:30 PM,
ARTS 144,Advanced Painting,Ryan Reynolds,5,T Th,2:00 PM,4:20 PM,Rm 320 Edward M. Dowd Art & Art History
DANC 42,Jazz Dance III,Pauline Kanter,4,T Th,10:20 AM,12:00 PM,Rm 124 Music And Dance - Studio A
ELEN 194,Design Project I,Andrew Wolfe,2,M,3:30 PM,4:35 PM,
FREN 11A,Cultures and Ideas I (The French-speaking World),,4,M W F,11:45 AM,12:50 PM,Rm 003 Casa Italiana Residence
HNRS 20,Difficult Dialogues,,4,M W F,1:00 PM,2:05 PM,Rm 214 Bergin Hall
FREN 21A,Francophone Tales and Legends,Nina Tanti,4,M W F,11:45 AM,12:50 PM,Rm 164 Graham Hall
LEAD 1,LEAD Seminar,,2,M,3:30 PM,5:15 PM,
WGST 198,WGST Internship,Sharmila Lodhia,5-Jan,,,,
FREN 21A,Francophone Tales and Legends,Nina Tanti,4,M W F,1:00 PM,2:05 PM,Rm 164 Graham Hall
CHST 196,Future Teachers Project Seminar,Omar Davila,1,T,4:45 PM,5:45 PM,
LEAD 1,LEAD Seminar,,2,M,4:45 PM,6:25 PM,
COEN 12L,Abstract Data Types and Data Structures Laboratory,Xiang Li,1,W,2:15 PM,5:00 PM,Rm 224 Heafey Hall
WGST 199,Directed Reading/Research,Sharmila Lodhia,5-Jan,,,,
CLAS 1,Elementary Latin I,Elizabeth Crofton-Sleigh,4,M W F,11:45 AM,12:50 PM,Rm 210 Edward M. Dowd Art & Art History
ENGR 1,Introduction to Engineering,,1,Th,12:10 PM,1:15 PM,
CLAS 5,Mediterranean Religious Traditions,Carolynn Roncaglia,4,M W F,9:15 AM,10:20 AM,Rm 102 Alameda hall
BIOL 1B,Information and Evolution L and L,Justen Whittall,4,Th,3:50 PM,6:35 PM,RM 3207 Sobrato Campus for Discovery and Innovation (STEM)
BIOL 1B,Information and Evolution L and L,Justen Whittall,4,Th,12:15 PM,3:00 PM,RM 3207 Sobrato Campus for Discovery and Innovation (STEM)
BIOL 1B,Information and Evolution L and L,Elizabeth Dahlhoff,4,W,3:30 PM,6:15 PM,RM 3207 Sobrato Campus for Discovery and Innovation (STEM)
